Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Latitude,Longitude
1007823,110002631073,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #23,VERNON,CA,90058,2901 FRUITLAND AVE.,LOS ANGELES COUNTY,327213,"C,N",Minerals,62255.524,62207.3,22,37.72,-121.49
1000891,110055506714,Olam West Coast Inc,Firebaugh,CA,93622,47461 W. Nees Ave,FRESNO COUNTY,311423,C,Other,30190.036,30158.8,14.25,34.00,-118.22
1005517,110000784116,Olam West Coast Inc,GILROY,CA,95020,1350 PACHECO PASS HWY,SANTA CLARA COUNTY,311423,C,Other,54730.944,54674.5,25.75,36.85,-120.64
1010345,110065967136,Olam West Coast Inc,Lemoore,CA,93245,1175 S. 19th Ave,KINGS COUNTY,311422,C,Other,514.748,514.2,0.25,37.00,-121.54
1000548,110043815538,Orange Grove Project,Pala,CA,92059,35435 Pala Del Norte Rd.,SAN DIEGO COUNTY,221112,D,Power Plants,8787.016,8777.7,4.25,36.28,-119.80
1001449,110019004780,"Ormond Beach Power, LLC",OXNARD,CA,93033,6635 S EDISON DR,VENTURA COUNTY,221112,"C,D",Power Plants,280322.56,280037.6,130,33.36,-117.11
1000796,110040565689,"Otay Mesa Energy Center, LLC",SAN DIEGO,CA,92154,606 De La Fuente Court,SAN DIEGO COUNTY,221112,D,Power Plants,829483.576,828641.3,384.25,34.13,-119.17
1007112,110005972965,Ox Mountain Sanitary Landfill,HALF MOON BAY,CA,94019,12310 SAN MATEO ROAD,SAN MATEO COUNTY,562212,HH,Waste,148918.5,,148918.5,32.57,-116.92
1005092,110060867888,Oxnard Landfills,Oxnard,CA,93036,4105 W. Gonzales Rd.,VENTURA COUNTY,562212,HH,Waste,3965.25,,3965.25,37.50,-122.41
1013348,,PABCO Building Products,Newark,CA,94560,37581 Cherry Street,ALAMEDA COUNTY,327420,C,Minerals,39609.8,39568.7,18.75,34.22,-119.22
1006104,110041142493,PACIFIC COAST PRODUCERS,WOODLAND,CA,95776,1376 LEMEN AVENUE,YOLO COUNTY,311421,C,Other,36833.912,36796.1,17.25,37.53,-122.03
1005865,110007032521,PALO ALTO LANDFILL AND RECYCLING CENTER,PALO ALTO,CA,94303,2380 EMBARCADERO ROAD,SANTA CLARA COUNTY,562212,HH,Waste,1090.75,,1090.75,38.68,-121.76
1003361,110028035070,PALOS VERDES LANDFILL,ROLLING HILLS ESTATES,CA,90274,25680 HAWTHORNE BLVD,LOS ANGELES COUNTY,562212,HH,Waste,19513,,19513,37.45,-122.10
1007173,110038892115,PG&E COLUSA GENERATING STATION,Maxwell,CA,95955,4780 Dirks Rd,COLUSA COUNTY,221112,"C,D",Power Plants,864937.544,864059.1,400.75,33.79,-118.35
1007469,110032962293,PG&E GATEWAY GENERATING STATION,ANTIOCH,CA,94509,3225 WILBUR AVE,CONTRA COSTA COUNTY,221112,"C,D",Power Plants,1363628.348,1362244.1,631.5,39.36,-122.27
1007411,110000610278,PG&E HUMBOLDT BAY,EUREKA,CA,95503,1000 KING SALMON AVE,HUMBOLDT COUNTY,221112,C,Power Plants,257010.766,256742.4,121.75,38.02,-121.76
1006099,110000481755,PHILLIPS 66 SANTA MARIA REFINERY,ARROYO GRANDE,CA,93420,2555 WILLOW ROAD,SAN LUIS OBISPO COUNTY,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",150634.676,149819.6,439,40.74,-124.21
